requests_per_minute,unique_ips,geo_spread_score,hour_of_day
10,2,0.5,10
12,3,0.6,11
15,2,0.4,14
8,1,0.2,9
9,2,0.3,16
11,3,0.45,10
14,2,0.55,13
7,1,0.15,8
13,4,0.5,12
10,2,0.35,15
16,3,0.6,11
9,1,0.25,17
12,2,0.4,9
11,3,0.5,14
8,2,0.3,10
15,4,0.55,13
10,1,0.2,16
13,3,0.45,11
7,2,0.35,8
14,2,0.5,12
9,1,0.15,15
11,3,0.4,10
16,4,0.6,14
12,2,0.3,9
10,3,0.45,11
8,1,0.2,17
13,2,0.5,13
15,3,0.55,12
7,1,0.1,8
11,2,0.35,16
14,4,0.5,10
9,2,0.25,15
12,3,0.4,11
10,1,0.3,14
8,2,0.2,9
16,3,0.65,13
13,4,0.5,12
11,2,0.4,10
7,1,0.15,8
15,3,0.55,14
100,50,0.9,2
110,48,0.95,3
95,45,0.88,1
105,52,0.92,4
120,55,0.97,3
