student_did,degree,institution,graduation_year
did:sol:4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,B.Tech Computer Science & Engineering,Indian Institute of Technology Delhi,2026
did:sol:6FvJrm8EhxKZgZBqSfJeD3qGdpjkPXmv3FVGhtuJfWi2,M.Sc Data Science,Indian Institute of Science Bangalore,2025
did:sol:9WzDXwBbmPQVgHpyTL7NzjKdHdYm4E3JpmCxQFHKyAv5,MBA Finance,Indian Institute of Management Ahmedabad,2026
did:sol:3kPXJdN8vC4tqQr5Y9FsSdB7guVpLm2e6GzW1R8HTiZx,B.Des Communication Design,National Institute of Design Ahmedabad,2025
did:sol:Hb5qXvUJZkFmPn7Yw3L8N2gTcRAs9DxE4K6VfMi1roaS,B.Tech Electrical Engineering,Indian Institute of Technology Bombay,2024
did:sol:Ck9M3vFqJx5dRhG7Bn2yTpLw4EsNi8aU6XmZ0Kf3QjWe,M.Tech Artificial Intelligence,Indian Institute of Technology Hyderabad,2026
did:sol:Dn4R8wYqJm7xKcVb5Fg2LhTs3Ep6NiAo9UzX0Sl1PkMe,B.Arch Architecture,School of Planning and Architecture Delhi,2025
did:sol:Fq7S2xZrKn8yLdWc6Gh3MiUt4Fq9OjBp0VaY1Tm2QlNf,MBBS Medicine,All India Institute of Medical Sciences Delhi,2026
did:sol:Hs0T5yArLo9zMeXd7Ji4NkVu5Gr0PkCq1WbZ2Un3RmOg,B.Tech Mechanical Engineering,Indian Institute of Technology Madras,2024
did:sol:Jv3W8bDsNr2aNhYf0Lk7QmXw8It3SmFt4XeC5Wp6UqRi,M.Sc Physics,Indian Institute of Technology Kanpur,2025
